gisaid_epi_isl,strain,date,host
EPI_ISL_5851502,USA/ID-IVREF-652297/2020,2020,Human
EPI_ISL_594126,USA/CT-Yale-384/2020,2020-05-22,Human
EPI_ISL_434726,USA/TX-HMH016/2020,2020-03-13,Human
EPI_ISL_6944108,Kenya/C72476/2020,2020-11-16,Human
EPI_ISL_507441,USA/MI-MDHHS-SC21184/2020,2020-07-03,Human
EPI_ISL_859244,Wales/ALDP-CBF8A2/2020,2020-12-19,Human
EPI_ISL_1017380,USA/OR-PROV-398/2020,2020-06-16,Human
EPI_ISL_1397785,USA/NY-Wadsworth-21027804-01/2021,2021-03-01,Human
EPI_ISL_3727514,USA/OR-OHSU-9878/2021,2021-01-08,Human
EPI_ISL_6331582,France/PAC-IHU-37596-Nova1M/2021,2021-10,Human
EPI_ISL_632488,mink/Netherlands/NB-EMC-64-7/2020,2020-10-14,Mink
EPI_ISL_1740499,lion/Spain/CT-ZooBarcelona-CR_162.1.1-R009AO3D1/2020,2020-11-13,Panthera leo
EPI_ISL_3207623,Canada/QC-1nIUH-5524287788_2/2021,2021-02-06,Human
EPI_ISL_1402838,USA/MD-HP03545/2021,2021-03-18,Human
EPI_ISL_1391791,USA/PA-CDC-STM-000038176/2021,2021-02-14,Human
EPI_ISL_737834,Switzerland/VS-ETHZ-320410/2020,2020-10-12,Human
EPI_ISL_3090524,USA/CA-CDPH-2000029764/2021,2021-01-19,Human
EPI_ISL_754963,USA/CA-CDPH090/2020,2020-08-05,Human
EPI_ISL_2877363,France/IDF-IPP3399/2020,2020-03-23,Human
EPI_ISL_3101829,USA/CA-CDPH-2000030698/2021,2021-01-19,Human
EPI_ISL_2834696,mink/USA/MI-20-028629-002/2020,2020-09-28,Mink
EPI_ISL_429705,Croatia/AU-S10/2020,2020-03,Human
EPI_ISL_2922540,Canada/ON-PHL-21-23130/2021,2021-04,Human
EPI_ISL_3031095,USA/NY-Wadsworth-21023359-01/2021,2021-02-07,Human
EPI_ISL_548143,NewZealand/20VR3859/2020,2020,Human
EPI_ISL_437781,USA/VA-DCLS-0142/2020,2020-04-17,Human
EPI_ISL_1502998,Panama/GMI-PA659260/2021,2021-01-12,Human
EPI_ISL_6641244,Russia/MOW-CRIE-L219D0085u/2021,2021-10-02,Human
EPI_ISL_1059567,Switzerland/BE-ETHZ-461484/2021,2021-01-19,Human
EPI_ISL_2301705,Greece/2020728/2020,2020-09-08,Human
EPI_ISL_2158643,USA/MO-MSPHL-002025/2020,2020-11-15,Human
EPI_ISL_2956687,Germany/NW-RKI-I-186764/2021,2021-07-12,Human
EPI_ISL_667022,USA/CA-ALSR-4586/2020,2020-07-11,Human
EPI_ISL_2797972,USA/CA-CDPH-2000035407/2021,2021-02-03,Human
EPI_ISL_1122085,USA/OR-OHSU-8856/2020,2020-12-31,Human
EPI_ISL_482455,USA/OR-PROV-220/2020,2020-03-27,Human
EPI_ISL_1512476,USA/FL-CDC-STM-000038522/2021,2021-03-18,Human
EPI_ISL_2189993,USA/TX-HMH-MCoV-31389/2020,2020-12-24,Human
EPI_ISL_3088342,USA/NC-CO-HOST_12/2020,2020-06-05,Human
EPI_ISL_1514462,USA/NC-CDC-LC0033400/2021,2021-03-16,Human
EPI_ISL_5343065,USA/TX-HMH-MCoV-47822/2020,2020-07-17,Human
EPI_ISL_3022421,USA/PA-VSP0915/2021,2021-03-05,Human
EPI_ISL_2811868,Malaysia/IMR_25737/2021,2021-05-04,Human
EPI_ISL_889660,USA/LA-EVTL1682/2021,2021-01-07,Human
EPI_ISL_5440130,USA/CO-CDPHE-2005080306/2020,2020-05-07,Human
EPI_ISL_1161368,USA/NJ-CDC-LC0019011/2021,2021-02-12,Human
EPI_ISL_4387336,USA/MN-CDC-IBX241101350896/2021,2021-04-04,Human
EPI_ISL_2242635,USA/WV-CDC-ASC210002165/2021,2021-03-04,Human
EPI_ISL_664658,England/CAMB-1BB8A1/2020,2020,Human
EPI_ISL_2934151,USA/CA-CDPH-2000004593/2020,2020-12-26,Human
EPI_ISL_2783502,USA/CA-CDPH-2000018718/2021,2021-01-10,Human
EPI_ISL_1683798,CanaryIslands/CN-ISCIII-212151/2021,2021-03-04,Human
EPI_ISL_2628937,USA/CA-SEARCH-102314/2021,2021-05-19,Human
EPI_ISL_542449,USA/TX-DSHS-0389/2020,2020-05-31,Human
EPI_ISL_1498624,Luxembourg/LNS9461736/2021,2021-02-22,Human
EPI_ISL_1137217,USA/PA-MGEL-01082/2020,2020-11-14,Human
EPI_ISL_462644,USA/MI-MDHHS-SC20562/2020,2020-04-29,Human
EPI_ISL_2099206,USA/TX-CDC-4061563-001/2021,2021-01-15,Human
EPI_ISL_2190662,USA/TX-HMH-MCoV-32028/2020,2020-12-21,Human
EPI_ISL_1039689,USA/LA-EVTL2045/2021,2021-02-09,Human
EPI_ISL_7660927,USA/CA-CDPH-1002006644/2021,2021-09-14,Human
EPI_ISL_683019,mink/Denmark/mDK-168/2020,2020-11-05,Mink
EPI_ISL_7856928,USA/CA-CDPH-2000011941/2020,2020-12-13,Human
EPI_ISL_1156531,Germany/HB-RKI-I-026346/2021,2021-02-18,Human
